Danh mục (Cấp 1),Nhánh / Trang (Cấp 2),Thành phần / Tính năng chi tiết (Cấp 3),Nội dung chi tiết & Lưu ý triển khai (Cấp 4)
1. Home page MADx,Hero banner,Tiêu đề & Kêu gọi hành động (CTA),"- Headline: ""Tổng thầu Chuyển đổi số cho Doanh nghiệp Bán lẻ – Sản xuất Việt Nam""- Sub: ""Hợp nhất 4 Pillar Sản xuất – Kho – E-commerce – Retail trên một kiến trúc Open-ERP. Đã triển khai cho Nam Phong, Masi, Dược Vương, Elise.""- Visual nền: Animated diagram thể hiện 4 Pillar liên thông (KHÔNG dùng stock photo người-bắt-tay).- Primary CTA: ""Đặt lịch tư vấn ngành (30 phút miễn phí)""- Secondary CTA: ""Xem case study""."
,Trust Strip,Logo & Số liệu chứng thực,"- Logo khách hàng cuộn ngang: Nam Phong, Masi, Dược Vương, Elise, Sixdo, EBS, Ecowash, Liên Châu, GreenSpeeds.- Tagline: ""Đã xử lý hơn [X] triệu giao dịch / [Y] đơn hàng cho khách"" (Cần bổ sung số liệu thực)."
,4 Solution Pillars,Khối giải pháp cốt lõi,- Tab/grid pillars: POS-Fintech
,Tại sao chọn MADX?,Lợi thế cạnh tranh (USP),"Chia làm 3 cột rõ ràng (Mỗi cột bắt buộc có 1 số liệu/bằng chứng cụ thể):1. End-to-End thực sự2. Sandbox nội bộ đã chạy thật3. IP độc quyền (FaceID, AI Forecasting)."
,Featured Case Study,Khách hàng nổi bật,"- Spotlight Dược Vương: Video 60s tự động phát muted.- Số liệu mạnh: 80% giảm kiểm kê, 99.90% chính xác.- CTA: ""Xem case đầy đủ"" + ""Xem tất cả case studies""."
,Hệ sinh thái Đối tác,Khối logo đối tác,"- Logo: Salesforce, SAP, Oracle, Google Cloud, AWS, Workday, Magenest, Gimasys, AHT, VDX, Trobz.- Lưu ý: Chỉ liệt kê đối tác đã ký. KHÔNG đưa Magenest, VDX, Trobz nếu chưa có MoU (Marketing cần verify)."
,Lead Magnet — Tech DD,Phễu chuyển đổi chính,"- Banner riêng: ""Đánh giá hạ tầng IT/OT của doanh nghiệp bạn — Tech DD Report giá trị 15-35k USD""- Form gated: Điền form để tải sample report (Thiết kế nổi bật ngang Hero)."
,Resource Teaser,Khối tài nguyên,"Hiển thị 3 bài blog mới nhất + 1 ebook nổi bật dưới dạng card đơn giản, hiệu ứng hover nhẹ."
,Footer CTA & Newsletter,Biểu mẫu chân trang,"- Tagline lớn: ""Sẵn sàng số hóa chuỗi giá trị của bạn?""- CTA: ""Liên hệ chuyên gia"" & Form đăng ký nhận bản tin (Newsletter signup)."
2. Giải pháp ngành,Tổng quan ngành,Nội dung phễu chung,"- Headline: ""Hợp nhất Chuỗi giá trị Sản xuất – Kho bãi – Thương mại điện tử – Bán lẻ trên một nền tảng duy nhất.""- Sub: Giải pháp End-to-End từ Tổng thầu Công nghệ đã đồng hành cùng Dược Vương...- Pain Points Bar: 3-5 ô quote nguyên văn của khách (VD: lệch tồn kho 8-12%, chi 80M license BI nhưng không có dashboard...). Mục đích: pattern interrupt.- 4 Pillars Overview: 4 card lớn (Manufacturing / Warehousing / E-commerce / Retail) kèm icon và số liệu chứng minh. Click dẫn sang trang chi tiết."
